Country,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021,year_2022
Nepal,150,215,340,525,760,530,1730,4125
The Netherlands Antilles,0,0,0,--,0,--,--,0
Netherlands,275,330,350,370,335,150,520,345
New Caledonia,5,--,10,--,--,--,--,--
New Zealand,105,125,105,110,140,75,85,90
Nicaragua,10,15,30,30,60,15,80,85
Republic of the Niger,105,115,80,115,135,110,150,130
Nigeria,6325,6160,5945,6505,7505,5840,9540,11875
Norway,165,160,170,135,140,45,115,90
Oman,85,70,65,80,85,40,135,75
Other,25,30,40,10,0,0,0,0
Pakistan,2315,2545,2040,2055,2170,1590,3335,3145
Republic of Palau,0,--,0,0,--,0,0,0
Palestinian Authority (Gaza/West Bank),80,110,120,140,170,145,200,165
Republic of Panama,100,105,140,395,205,145,310,375
Papua New Guinea,5,10,--,--,--,--,--,--
Paraguay,15,35,30,30,20,10,20,25
Peru,285,395,495,560,685,445,1670,2665
Philippines,1880,2895,2750,4070,6330,4360,14370,17265
Poland,175,190,170,170,180,90,190,140
Portugal,255,260,300,255,225,170,325,255
Qatar,20,20,15,15,20,10,20,25
Reunion,0,0,0,0,--,0,0,0
Romania,120,115,135,145,155,85,120,110
Russia,1510,1495,1440,1430,1550,1030,1660,885
Rwanda,225,335,450,540,685,420,625,670
Saint-Martin,0,0,0,--,--,0,0,--
Independent State of Samoa,0,0,--,0,0,0,0,0
San Marino,0,--,0,--,--,0,--,--
Sao Tome and Principe,--,0,--,0,0,0,0,0
Saudi Arabia,7655,5480,5080,2865,1185,715,550,375
Senegal,740,705,705,805,1100,820,1,1645
Republic of Serbia,95,100,120,105,135,120,170,135
Seychelles,5,10,--,--,--,--,0,--
Sierra Leone,20,25,30,40,30,30,30,35
Singapore,305,275,310,315,345,215,390,360
Sint-Maarten,0,0,0,--,0,0,10,0
Slovak Republic,120,155,135,120,130,60,155,125
Slovenia,25,20,20,25,15,15,20,15
The Solomons,5,10,10,10,5,--,5,--
Somalia,25,80,85,70,60,40,30,10
South Africa,290,330,355,365,490,410,810,700
South Sudan,5,10,10,5,10,10,10,10
Spain,1085,1405,1590,1785,1910,570,2620,2625
Sri Lanka,290,400,445,565,970,795,1900,2085
St. Kitts-Nevis,35,35,45,50,45,35,50,50
St. Lucia,85,85,90,100,80,55,75,60
St. Vincent and the Grenadines,35,40,50,25,35,25,30,30
Stateless,75,80,110,110,115,90,110,90
Democratic Republic of Sudan,70,95,140,145,185,165,175,145
Surinam,10,10,15,5,15,10,--,10
Swaziland,10,10,10,10,5,5,15,5
Sweden,200,200,220,200,180,115,315,160
Switzerland,455,440,535,500,435,205,670,485
Syria,210,185,245,260,275,195,200,195
Taiwan,2245,2650,2845,3160,3365,2150,2230,2195
Tajikistan,5,10,20,20,15,15,30,20
Tanzania,315,360,375,360,430,310,435,355
Thailand,785,800,830,930,940,530,1260,1865
Togo,295,255,265,285,455,250,335,355
Tonga,0,0,--,--,0,--,--,0
Trinidad and Tobago,215,215,315,390,455,200,435,500
Tunisia,1030,1130,1170,1260,1480,1305,1845,1890
Turkey,1615,2215,2955,3125,3245,1895,3870,2715
Turkmenistan,10,10,10,20,20,10,10,--
Tuvalu,0,0,0,0,--,0,0,0
Uganda,155,250,275,380,440,275,370,360
Ukraine,1455,1910,1845,1685,1525,975,1400,5045
United Arab Emirates,55,40,40,45,40,25,50,50
United Kingdom and Overseas Territories,2030,2215,2280,2020,1950,1040,2440,2025
United States Minor Outlying Islands,0,0,0,0,--,0,0,0
United States of America,5660,6230,6925,6520,6685,4250,8265,6185
Uruguay,10,15,30,35,50,35,55,25
Uzbekistan,30,35,25,25,35,25,50,45
Vanuatu,0,0,0,--,--,--,--,--
Venezuela,1510,1410,1185,815,625,555,535,490
Vietnam,2830,5320,9865,12350,11610,9360,9245,7975
British Virgin Islands,0,0,0,0,0,0,--,0
Western Sahara,0,0,0,--,0,--,0,0
Yemen,165,200,255,265,275,250,200,125
Zambia,120,115,120,115,130,95,125,140
Zimbabwe,330,490,435,420,350,320,505,550
Country of Citizenship not stated,30,--,--,0,5,0,0,0
,0,,,,,,,
