group,variable,country,value,,,
N,v10,Thailand,1260,,,
N,v11,Togo,335,,,
N,v12,Tonga,--,,,
N,v13,Trinidad and Tobago,435,,,
N,v14,Tunisia,1845,,,
O,v1,Turkey,3870,,,
O,v2,Turkmenistan,10,,,
O,v3,Tuvalu,0,,,
O,v4,Uganda,370,,,
O,v5,Ukraine,1400,,,
O,v6,United Arab Emirates,50,,,
O,v7,United Kingdom and Overseas Territories,2440,,,
O,v8,United States Minor Outlying Islands,0,,,
O,v9,United States of America,8265,,,
O,v10,Uruguay,55,,,
O,v11,Uzbekistan,50,,,
O,v12,Vanuatu,--,,,
O,v13,Venezuela,535,,,
O,v14,Vietnam,9245,,,
P,v1,British Virgin Islands,--,,,
P,v2,Western Sahara,0,,,
P,v3,Yemen,200,,,
P,v4,Zambia,125,,,
P,v5,Zimbabwe,505,,,
P,v6,Country of Citizenship not stated,0,,,
