group,variable,country,value
A,v1,Afghanistan,90
A,v2,Albania,110
A,v3,Algeria,960
A,v4,Andorra,--
A,v5,Angola,65
A,v6,Anguilla,0
A,v7,Antigua and Barbuda,65
A,v8,Argentina,150
A,v9,Armenia,15
A,v10,Aruba,0
A,v11,Australia,465
A,v12,Austria,105
A,v13,Azerbaijan,70
A,v14,Bahama Islands,440
B,v1,Bahrain,30
B,v2,Bangladesh,1365
B,v3,Barbados,185
B,v4,Belarus,45
B,v5,Belgium,305
B,v6,Belize,60
B,v7,Benin,400
B,v8,Bermuda,0
B,v9,Bhutan,10
B,v10,Bolivia,55
B,v11,Sin Eustatius And Saba Bonaire,0
B,v12,Bosnia-Herzegovina,20
B,v13,Botswana,55
B,v14,Brazil,6350
C,v1,Brunei,10
C,v2,Bulgaria,40
C,v3,Burkina-Faso,355
C,v4,Burundi,135
C,v5,Cambodia,120
C,v6,Cameroon,1055
C,v7,Cape Verde Islands,--
C,v8,Cayman Islands,0
C,v9,Central African Republic,25
C,v10,Chad,55
C,v11,Chile,345
C,v12,China,65860
C,v13,Colombia,1295
C,v14,Comoros,5
D,v1,Democratic Republic of the Congo,455
D,v2,People's Republic of the Congo,160
D,v3,Costa Rica,75
D,v4,Croatia,90
D,v5,Cuba,80
D,v6,Curacao,0
D,v7,Cyprus,15
D,v8,Czech Republic,110
D,v9,Denmark,100
D,v10,Djibouti,25
D,v11,Dominica,10
D,v12,Dominican Republic,170
D,v13,Democratic Republic of East Timor,0
D,v14,Ecuador,395
E,v1,Egypt,800
E,v2,El Salvador,170
E,v3,Republic of Equatorial Guinea,5
E,v4,Eritrea,85
E,v5,Estonia,15
E,v6,Ethiopia,150
E,v7,Fiji,15
E,v8,Finland,95
E,v9,France,11860
E,v10,French Guiana,0
E,v11,French Polynesia,0
E,v12,Gabon Republic,75
E,v13,Gambia,50
E,v14,Georgia,10
F,v1,Germany,2035
F,v2,Ghana,785
F,v3,Greece,130
F,v4,Grenada,30
F,v5,Guadeloupe,0
F,v6,Guatemala,55
F,v7,Republic of Guinea,175
F,v8,Guinea-Bissau,--
F,v9,Guyana,115
F,v10,Haiti,350
F,v11,Holy See,0
F,v12,Honduras,75
F,v13,Hong Kong SAR,2095
F,v14,Hungary,105
G,v1,Iceland,45
G,v2,India,31920
G,v3,Indonesia,740
G,v4,Iran,2340
G,v5,Iraq,120
G,v6,Ireland,225
G,v7,Israel,375
G,v8,Italy,1005
G,v9,Ivory Coast,630
G,v10,Jamaica,1345
G,v11,Japan,6040
G,v12,Jordan,280
G,v13,Kazakhstan,475
G,v14,Kenya,430
H,v1,People's Democratic Republic of Korea,10
H,v2,Republic of Korea,14735
H,v3,Republic of Kosovo,40
H,v4,Kuwait,135
H,v5,Kyrgyzstan,15
H,v6,Laos,15
H,v7,Latvia,30
H,v8,Lebanon,405
H,v9,Lesotho,--
H,v10,Liberia,10
