group,variable,country,value
F,v10,Haiti,480
F,v11,Holy See,--
F,v12,Honduras,105
F,v13,Hong Kong SAR,2605
F,v14,Hungary,60
G,v1,Iceland,30
G,v2,India,80885
G,v3,Indonesia,775
G,v4,Iran,6965
G,v5,Iraq,130
G,v6,Ireland,115
G,v7,Israel,400
G,v8,Italy,790
G,v9,Ivory Coast,880
G,v10,Jamaica,1255
G,v11,Japan,3490
G,v12,Jordan,630
G,v13,Kazakhstan,365
G,v14,Kenya,815
H,v1,People's Democratic Republic of Korea,5
H,v2,Republic of Korea,10930
H,v3,Republic of Kosovo,40
H,v4,Kuwait,100
H,v5,Kyrgyzstan,50
H,v6,Laos,10
H,v7,Latvia,25
H,v8,Lebanon,535
H,v9,Lesotho,--
H,v10,Liberia,10
H,v11,Libya,445
H,v12,Liechtenstein,0
H,v13,Lithuania,25
H,v14,Luxembourg,20
I,v1,Macau SAR,140
I,v2,Macedonia,15
I,v3,Madagascar,180
I,v4,Malawi,20
I,v5,Malaysia,405
I,v6,Republic of Maldives,--
I,v7,Republic of Mali,425
I,v8,Malta,5
I,v9,Republic of the Marshall Islands,--
I,v10,Martinique,--
I,v11,Mauritania,45
I,v12,Mauritius,275
I,v13,Mexico,3650
I,v14,Moldova,30
J,v1,Monaco,--
J,v2,People's Republic of Mongolia,85
J,v3,Montenegro,5
J,v4,Morocco,2465
J,v5,Mozambique,10
J,v6,Myanmar (Burma),60
J,v7,Namibia,15
J,v8,Nepal,530
J,v9,The Netherlands Antilles,--
J,v10,Netherlands,150
J,v11,New Caledonia,--
J,v12,New Zealand,75
J,v13,Nicaragua,15
J,v14,Republic of the Niger,110
K,v1,Nigeria,5840
K,v2,Norway,45
K,v3,Oman,40
K,v4,Other,0
K,v5,Pakistan,1590
K,v6,Republic of Palau,0
K,v7,Palestinian Authority (Gaza/West Bank),145
K,v8,Republic of Panama,145
K,v9,Papua New Guinea,--
K,v10,Paraguay,10
K,v11,Peru,445
K,v12,Philippines,4360
K,v13,Poland,90
K,v14,Portugal,170
L,v1,Qatar,10
L,v2,Reunion,0
L,v3,Romania,85
L,v4,Russia,1030
L,v5,Rwanda,420
L,v6,Saint-Martin,0
L,v7,Independent State of Samoa,0
L,v8,San Marino,0
L,v9,Sao Tome and Principe,0
L,v10,Saudi Arabia,715
L,v11,Senegal,820
L,v12,Republic of Serbia,120
L,v13,Seychelles,--
L,v14,Sierra Leone,30
M,v1,Singapore,215
M,v2,Sint-Maarten,0
M,v3,Slovak Republic,60
M,v4,Slovenia,15
M,v5,The Solomons,--
M,v6,Somalia,40
M,v7,South Africa,410
M,v8,South Sudan,10
M,v9,Spain,570
M,v10,Sri Lanka,795
M,v11,St. Kitts-Nevis,35
M,v12,St. Lucia,55
M,v13,St. Vincent and the Grenadines,25
M,v14,Stateless,90
N,v1,Democratic Republic of Sudan,165
N,v2,Surinam,10
N,v3,Swaziland,5
N,v4,Sweden,115
N,v5,Switzerland,205
N,v6,Syria,195
N,v7,Taiwan,2150
N,v8,Tajikistan,15
N,v9,Tanzania,310
N,v10,Thailand,530
N,v11,Togo,250
N,v12,Tonga,--
N,v13,Trinidad and Tobago,200
N,v14,Tunisia,1305
O,v1,Turkey,1895
O,v2,Turkmenistan,10
O,v3,Tuvalu,0
O,v4,Uganda,275
O,v5,Ukraine,975
O,v6,United Arab Emirates,25
O,v7,United Kingdom and Overseas Territories,1040
O,v8,United States Minor Outlying Islands,0
O,v9,United States of America,4250
O,v10,Uruguay,35
O,v11,Uzbekistan,25
O,v12,Vanuatu,--
O,v13,Venezuela,555
O,v14,Vietnam,9360
P,v1,British Virgin Islands,0
P,v2,Western Sahara,--
P,v3,Yemen,250
P,v4,Zambia,95
P,v5,Zimbabwe,320
P,v6,Country of Citizenship not stated,0
