group,variable,country,value
A,v1,Afghanistan,85
A,v2,Albania,230
A,v3,Algeria,2040
A,v4,Andorra,0
A,v5,Angola,30
A,v6,Anguilla,0
A,v7,Antigua and Barbuda,45
A,v8,Argentina,180
A,v9,Armenia,10
A,v10,Aruba,0
A,v11,Australia,250
A,v12,Austria,55
A,v13,Azerbaijan,100
A,v14,Bahama Islands,505
B,v1,Bahrain,25
B,v2,Bangladesh,3165
B,v3,Barbados,170
B,v4,Belarus,35
B,v5,Belgium,305
B,v6,Belize,50
B,v7,Benin,325
B,v8,Bermuda,15
B,v9,Bhutan,85
B,v10,Bolivia,50
B,v11,Sin Eustatius And Saba Bonaire,0
B,v12,Bosnia-Herzegovina,20
B,v13,Botswana,55
B,v14,Brazil,6040
C,v1,Brunei,5
C,v2,Bulgaria,40
C,v3,Burkina-Faso,440
C,v4,Burundi,190
C,v5,Cambodia,75
C,v6,Cameroon,1065
C,v7,Cape Verde Islands,--
C,v8,Cayman Islands,--
C,v9,Central African Republic,20
C,v10,Chad,55
C,v11,Chile,435
C,v12,China,57775
C,v13,Colombia,3010
C,v14,Comoros,10
D,v1,Democratic Republic of the Congo,790
D,v2,People's Republic of the Congo,115
D,v3,Costa Rica,80
D,v4,Croatia,35
D,v5,Cuba,75
D,v6,Curacao,0
D,v7,Cyprus,10
D,v8,Czech Republic,85
D,v9,Denmark,40
D,v10,Djibouti,30
D,v11,Dominica,30
D,v12,Dominican Republic,200
D,v13,Democratic Republic of East Timor,--
D,v14,Ecuador,590
E,v1,Egypt,1010
E,v2,El Salvador,180
E,v3,Republic of Equatorial Guinea,--
E,v4,Eritrea,60
E,v5,Estonia,10
E,v6,Ethiopia,220
E,v7,Fiji,15
E,v8,Finland,55
E,v9,France,7935
E,v10,French Guiana,0
E,v11,French Polynesia,--
E,v12,Gabon Republic,80
E,v13,Gambia,45
E,v14,Georgia,5
F,v1,Germany,795
F,v2,Ghana,815
F,v3,Greece,135
F,v4,Grenada,40
F,v5,Guadeloupe,--
F,v6,Guatemala,45
F,v7,Republic of Guinea,330
F,v8,Guinea-Bissau,--
F,v9,Guyana,215
